text,category
"KFC
CIF: 90419169H
Fecha: 19/4/2026
----------------------
MENU  33.39
COMIDA  4.55
CNA  28.6
CERV#ZA  3.41
CI0E  12.4
----------------------
T*TAL EUR  28.96
EFECTIVO",ocio
"HBO M%X
CIF: 73732 693H
Fecha: 12/6/2026
----------------------
CUOTA  45.91
REVI&TA  20.54
NETFIX  2.41
----------------------
TOTAL EUR  116.27
TICKET",suscripciones
"EL CORTE INGLES
IF: 85903883U
Fecha: 2/2/2026
----------------------
ZAPATILLAS  15.3
ROPA INT ERIOR  3.96
----------------------
TOTAL EUR  169.66
TARJETA",ropa
"KFC
CIF: 77238295C
Fecha: 7/12/2026
----------------------
CONCIERTO  11.02
PALOMITAS  8.02
-----------6----------
TOTAL EUR  175.95
TARJETA",ocio
"ALTAIT
CIF: 49729398F
Fecha: 4/6/2026
----------------------
SOFTWARE  36.99
 HBO  18.75
SUSCRIPCION  29.1
AMAZO N PRIME  40.38
NETFL IX  21.05
REVISTA  31.68
----------------------
TOTAL EUR  45.15
CAMBIO",suscripciones
"TELEPIZ4A
CIF: 25962224Z
Fecha: 4/10/2026
----------------------
PZZA  36.43
TAPAS  41.49
MUEO  8.05
CERVEZA  22.89
ENTRA DA  1.14
----------------------
TOTA3 EUR  155.41
CAMBIO",ocio
"DSNEY+
CIF: 38878951R
Fecha: 16/6/2026
----------------------
MENSU&LIDAD  9.83
HBO  47.68
PR ENSA  8.62
----------------------
TOTAL EUR  183.32
GRACIAS POR SU VISITA",suscripciones
"LEROY MERLIN
CIF: 58432276Q
Fecha: 9/6/2026
----------------------
BRICOLAJE  8.2
AG UA  2.62
MESA  14.75
INT9RNET  29.56
----------------------
TOTAL EUR  35.41
FECHA",hogar
"COSUM
CIF: 72432451P
Fecha: 19/8/2026
----------------------
QUESO  46.34
PAN  35.55
----------------------
TOTAL EUR  71.51
FACTURA",alimentacion
"STRADIVARIUS
CIF: 49570761K
Fecha: 16/2/2026
----------------------
CAMISA  23.69
ZAPATILL AS  20.66
----------------------
TOTAL EUR  111.08
TOTAL",ropa
"IK EA
CIF: 61977224S
Fecha: 18/9/2026
----------------------
LUZ  44.29
IKEA  36.63
ESTANTERI A  46.89
FIRA  46.69
----------------------
TOTAL EUR  62.38
FACTURA",hogar
"BURGER KING
CIF: 39184182V
Fecha: 17/1/2026
----------------------
RESTAURANTE  12.06
CINE  4.91
PALOMTAS  9.28
CERVEA  36.99
ENTRADA  12.71
----------------------
TOTAL EUR  81.52
CAMBIO",ocio
"GOOGLE
CIF: 32069158K
Fecha: 19/8/2026
----------------------
SOFTWARE  36.84
PRENSA  38.23
NETFLIX  37.96
AMAZON PRIME  49.57
GIMNASIO  44.52
CUO^A  22.69
----------------------
TOTAL EUR  51.9
GRACIAS POR SU VISITA",suscripciones
"CEPSA
CIF: 99130895H
Fecha: 10/7/2026
----------------------
UBER  13.11
AVE  32.62
CABI FY  43.79
MEN*UAL  36.63
PEAJE  9.67
TREN  46.98
----------------------
TOTAL EUR  120.56
FACTURA",transporte
"LIDL
CIF: 13366592R
Fecha: 16/12/2026
----------------------
CEREAL  47.93
LEC9E  32.8
GALLETAS  19.4
----------------------
TOTAL EUR  88.62
GRACIASPOR SU VISITA",alimentacion
"LEROY MERLIN
CIF: 39470781Q
Fecha: 26/5/2026
----------------------
PINURA  17.88
BRICOLA$E  33.59
----------------------
TOTAL EUR  124.13
TOTAL",hogar
"A ENA
CIF: 94966696H
Fecha: 7/5/2026
----------------------
AVE  25.09
ESTACIONAMI7NTO  11.0
PARK7NG  48.19
VUELO  30.79
BONO  21.3
MENSUAL  27.04
----------------------
TOTAL EUR  152.32
TICKET",transporte
"SPOTIFY
CIF: 32173820D
Fecha: 27/6/2026
----------------------
PRENSA  10.06
CUOTA  1.56
----------------------
TOTAL EUR  71.63
CAJRO",suscripciones
"BASIC-FIT
CIF: 70787131I
Fecha: 11/4/2026
----------------------
REVISTA  12.31
GIMNASIO  48.77
----------------------
TOTAL EUR  130.45
TICKET",suscripciones
"TMB
CIF: 87107034B
Fecha: 1/11/2026
----------------------
T REN  18.48
VUELO  44.4
AUTOBUS  #4.68
TA^I  10.97
BIL LETE  37.54
AVE  17.12
----------------------
TOTAL EUR  51.15
CAMBIO",transporte
"SANITAS
CIF: 17179326X
Fecha: 8/5/2026
----------------------
FARMACIA  19.07
CLIICA  30.51
ANALISIS  42.88
REVISI2N  31.9
----------------------
TOTAL EUR  10.2
TOTAL",salud
"AENA
CIF: 75428751I
Fecha: 12/10/2026
----------------------
P EAJE  5.4
T AXI  34.95
CAIFY  3.97
----------------------
TOTAL EUR  153.53
CAMBIO",transporte
"HBO MAX
CIF: 42643865M
Fecha: 26/9/202!
----------------------
MENSUALIDAD  22.33
DISNEY  37.01
SPOTIFY  32.8
SOFTWARE  46.06
AMAZO@ PRIME  2.49
HBO  45.6
----------------------
TOTAL EUR  19.87
FACTURA",suscripciones
"MC0ONALDS
CIF: 20813919L
Fecha: 2/5/2026
---------------------
HAMBU RGUESA  36.17
TEATRO  4.88
----------------------
TOTAL EUR  156.06
TOTAL",ocio
"HBO MAX
CIF: 77856190Z
Fecha: 28/3/2026
----------------------
MENS1ALIDAD  44.84
S OFTWARE  47.96
LICENCIA  6.91
----------------------
TOTAL EUR  144.26
EFECTIVO",suscripciones
"MASSIMO DUTTI
CIF: 70902888D
Fecha: 14/5/2026
----------------------
JE RSEY  8.45
VESTIDO  47.41
ROPA I NTERIOR  6.34
----------------------
TOTAL EUR  120.78
TARJETA",ropa
"MANGO
CIF: 94123202V
Fecha: 9/5/2026
----------------------
CAMIS  14.22
CINTURON  40.44
ABRIGO  19.69
ROPA INTERIOR  13.38
----------------------
TOTAL EUR  181.29
FECHA",ropa
"CINESA
CIF: 78868709H
Fecha: 21/2/20#6
----------------------
CENA  32.26
TEATRO  17.56
----------------------
TOTAL EUR  158.91
IVA",ocio
"CANAL DE ISABEL II
CIF: 49839818M
Fecha: 21/8/2026
----------------------
LUZ  46.11
HERRAMIENTAS  44.88
LAMPA$A  33.25
----------------------
TOTAL EUR  73.38
IVA",hogar
"STARBUCKS
CIF: 96703439G
Fecha: 7/ 12/2026
----------------------
C OPA  49.24
CINE  6.73
----------------------
TOTAL EUR  25.13
TOTAL",ocio
"AHO RRAMAS
CIF: 23472184K
Fecha: 14/11/2026
----------------------
HUEOS  8.54
PAN  44.71
AGUA  14.87
GALLETAS  40.31
L%CHE  2.15
ARROZ  3.22
----------------------
TOTAL EUR  146.0
EFECTIVO",alimentacion
"ALTAIT
CIF: 9600551B
Fecha: 6/2/2026
----------------------
HBO  24.23
LICENCIA  41.68
AMAZON PRIME  10.94
DISNEY  32.57
PRENSA  18.02
SUSCRIPCION  13.93
----------------------
TOTAL EUR  169.37
FACTURA",suscripciones
"ALT^FIT
CIF: 74668242M
Fecha: 24/9/2026
----------------------
CUOTA  37.1
SOFTWARE  36.2
SPOTIFY  35.89
NETFLIX  49.41
SUSCRIPCION  12.55
----------------------
TOTAL EUR  97.22
FACTURA",suscripciones
"AENA
CIF: 33742527X
Fecha: 20/11/2026
----------------------
ESTACIONAMIENTO  39.33
VELO  27.06
AUTOBUS  21.89
P#AJE  49.8
----------------------
TOTAL EUR  121.51
CAJERO",transporte
"VIPS
CIF: 36848437P
Fecha: 22/5/2026
----------------------
COPA   7.94
CONCIERTO  32.0
CIE  5.39
MUSEO  13.55
----------------------
TOTAL EUR  112.8
IVA",ocio
"DEC^THLON
CIF: 74031997Z
Fecha: 1/1/2026
----------------------
ZAPATILL7S  45.71
CHA!UETA  4.51
----------------------
TOTAL EUR  76.43
TARJETA",ropa
"A LTAFIT
CIF: 38688003O
Fecha: 1/10/2026
---------------------
REV7STA  48.1
AMAZON PRIME  32.41
MENSUALIDAD  10.14
GIM NASIO  25.1
----------------------
TOTAL EUR  190.71
CAMBIO",suscripciones
"ALTAFIT
CIF: 53224504U
Fecha: 14/2/2026
----------------------
SOFTWARE  38.37
DISNEY  3.42
SPOTIFY  4.33
----------------------
TOTAL EUR  19.78
EFECTIVO",suscripciones
"VDAFONE
CIF: 33787498X
Fecha: 15/4/2026
----------------------
IKEA  5.62
INTERNET  12.23
FA!TURA  45.29
MUEBLE  2.11
----------------------
TOTAL EUR  196.94
EUR",hogar
"MRCADONA5CIF: 55219942I
Fecha: 11/7/2026
----------------------
FRUTA  16.34
CEREAL  36.93
----------------------
TOTAL EUR  75.72
FACTURA",alimentacion
"MFIT
CIF: 63828568I
Fecha: 17/8/2026
----------------------
LICENCIA  46.16
CUOTA  19.47
HBO  10.23
----------------------
TOTAL EUR  *74.64
TICKET",suscripciones
"KFC
CIF: 56132145J
Fecha: 21/3/2026
----------------------
PI*ZA  42.64
MUEO  3.51
COM2DA  44.92
TEATRO  23.63
----------------------
TOTAL EUR  182.09
EFECTIVO",ocio
"TMB
CIF: 15114828M
Fecha: 27/11/2026
----------------------
ESACIONAMIENTO  44.3
TEN  46.95
U3ER  41.94
TAXI  3.31
----------------------
TOTAL EUR  30.05
EUR",transporte
"GENERAL OTICA
CIF: 80836048P
Fecha: 12/9/2026
----------------------
MEDICAMENTO  37.34
FARMACIA  33.48
IBUPROFENO  3.07
REVI$ION  46.99
----------------------
TOTAL EUR  38.36
CAJERO",salud
"MOVISTAR
CIF: 58942415M
Fecha: 17/8/2026
----------------------
INTERNT  14.71
BRICOLAJE  20.69
HERRAMIENTAS  13.72
BOMBILLA  38.85
----------------------
TOTAL EU$  186.03
EUR",hogar
"CON$ORAMA
CIF: 23068676R
Fecha: 20/3/2026
----------------------
PINTUA  8.04
ME8A  14.74
ESTANTERA  23.59
FA9TURA  27.07
BRICOLAJE  46.19
----------------------
TOTAL EUR  64.32
FECHA",hogar
"DECATHLON
CIF: 61699519A
Fecha:10/7/2026
----------------------
VESTIDO  4.78
CAMISA  21.03
ROPA INTERIOR  45.66
FALDA  49.78
ZAPATOS  4.56
----------------------
TOTAL EUR  185.09
FACTURA",ropa
"DISNEY+
CIF: 59934888O
Fecha: 17/11/2026
-8--------------------
PR ENSA  22.93
GIMNASIO  35.89
REVITA  21.33
MENSUALIDAD  31.55
SUSCRIPCION  43.53
SOFTWARE  10.31
----------------------
TOTAL EUR  37.34
GRACIAS POR SU VISITA",suscripciones
"ENDESA
CIF: 55253638E
Fecha: 24/11/2026
----------------------
AGUA  25.12
E STANTERIA  29.72
HERRAMIENT AS  39.7
PINTURA  22.33
LAMPARA  11.1
BOMBI4LA  28.62
----------------------
TOTAL EUR  28.47
CAJERO",hogar
"N6TFLIX
CIF: 27454240S
Fecha: 16/12/2026
----------------------
MENS5ALIDAD  4.31
REVISTA  21.82
SPOTIFY  9.51
PRENA  31.48
NETFLIX  15.97
----------------------
TOAL EUR  75.74
EFECTIVO",suscripciones
"AMAZON
CIF: 29577070Q
Fecha: 16/5/2026
----------------------
SUSCRIPCION  44.67
GIMNASIO  20.55 
CUOTA  15.64
----------------------
TOTAL EUR  192.38
IVA",suscripciones
"UBER
CIF: 19728496N
Fecha: 20/11/2026
----------------------
TREN  23.09
VU ELO  15.77
AUTO BUS  41.8
BILLE9E  9.48
----------------------
TOTAL EUR  180.92
FACTURA",transporte
"CABIFY
CIF: 62978846U
Fecha: 7/2/2026
----------------------
TREN  3#.33
DIESEL  5.98
MENS4AL  15.27
GASOLINA  43.49
AUTOBUS  1.11
U8ER  4.06
----------------------
TOTAL EUR  199.02
TICKET",transporte
"TMB
CIF: 95469249D
Fecha: 16/1/2026
----------------------
VUELO  48.43
BONO  20.01
----------------------
TOTAL EUR  52.32
FECHA",transporte
"SPOTIFY
CIF: 92840065P
Fecha: 28/3/2026
----------------------
SPOTIFY  49.22
HBO  42.8
REVISTA  10.35
SUCRIPCION  26.81
----------------------
TOTL EUR  71.88
FACTURA",suscripciones
"SAITAS
CIF: 99958759U
Fecha: 5/1/2026
----------------------
P8RACETAMOL  41.97
FISIO  46.33
----------------------
TOTAL EUR  145.26
TARJETA",salud
"NETFLX
CIF: 13353912E
Fecha: 1/11/2026
----------------------
DISEY  44.43
GIMNA&IO  3.26
PRESA  3.12
----------------------
TOTAL EUR  29.51
IVA",suscripciones
"MCDONALDS
CIF: 45760960J
Fecha: 11/3/2026
----------------------
MENU  2.48
PALOM&TAS  6.04
TAPS  24.76
----------------------
TOAL EUR  122.11
IVA",ocio
"AMA@ON
CIF: 79080043S
Fecha: 21/1/2026
----------------------
SUSCRIPCION  36.8
MENSUALIDAD  10.62
----------------------
TOTAL EUR  53.17
CAJERO",suscripciones
"CIESA
CIF: 59336064R
Fecha: 22/2/2026
------------5---------
HAMURGUESA  32.67
ENTRADA  14.5
----------------------
TOTAL EUR  38.33
TICKET",ocio
"IKEA
CIF: 24242733T
Fecha: 5/9/2026
----------------------
MESA  12.18
MUEBLE  39.61
HERRAMENTAS  24.92
AGUA  23.62
PIN!URA  12.2
BRIC2LAJE  5.62
----------------------
TOTAL EUR  121.96
CAJERO",hogar
"SPOTIFY
CIF: 83325260M
Fecha: 14/5/2026
----------------------
PRENSA  46.77
CUOA  33.13
REVSTA  1.46
GIMNASIO  21.03
AMAZON PRIME  35.83
HBO  5.07
----------------------
TOTAL EUR  172.79
EUR",suscripciones
"TELEPIZZA
CIF: 19432496L
Fecha: 25/1/2026
----------------------
RESTAURANTE  18.37
CENA  43.19
CONCIERTO  1.02
----------------------
TOTAL EUR  165.3
TOTAL",ocio
"DIA
CIF: 80065730M
Fecha: 13/12/2026
----------------------
LECHE  24.62
GALLETAS  4.27
----------------------
TOTAL EUR  126.26
EFECTIVO",alimentacion
"STARBUCKS
CIF: 90038765A
Fecha: 22/6/4026
----------------------
CO PA  28.74
TAPAS  47.2
MUSEO  49.01
----------------------
TOTAL EUR  126.0
FACTURA",ocio
"ASISA
CIF: 91852575X
Fecha: 23/4/2026
----------------------
MASAJE  14.63
OPTICA  20.17
FARMACIA  45.88
L ENTILLAS  3.63
AN ALISIS  15.86
----------------------
TOAL EUR  174.96
TICKET",salud
"AENA
CIF: 71384319T
Fecha: 15/12/2026
---------------------
B ONO  7.49
CABIFY  34.44
AUTOBUS  2.37
----------------------
TOTAL EUR  179.72
EFECTIVO",transporte
"IBRDROLA
CIF: 11132248T
Fecha: 14/12/2026
----------------------
BRICOLA JE  23.68
LAMPARA  38.47
MSA  46.95
----------------------
TOTAL EUR  192.38
EFECTIVO",hogar
"CANAL DE ISABEL II
CIF: 92411554A
Fecha: 4/9/2026
----------------------
LUZ  21.26
AUA  41.56
----------------------
TOTAL EUR  163.54
IVA",hogar
"KFC
CIF: 55381295Y
Fecha: 21/11/2026
----------------------
PIZZA  45.31
COMIDA  28.08 
----------------------
TOTAL EUR  36.4
TARJETA",ocio
"S!NITAS
CIF: 42050725T
Fecha: 21/7/2026
----------------------
LENTILLAS  3.12
CLINICA  46.93
REETA  8.38
----------------------
TOTAL EUR  35.61
IVA",salud
"GALP
CIF: 79160036T
Fecha: 27/3/2026
----------------------
BILETE  3.95
BONO  20.87
ESTACIONAMIENTO  36.85
----------------------
TOTAL EUR  94.36
CAJERO",transporte
"CEPSA
CIF: 93497233E
Fecha: 28/6/2026
----------------------
BONO  33.26
MESUAL  15.49
ESTACIONAMIENTO  48.93
DIESEL  9.52
T8EN  8.34
----------------------
TOTAL EUR  58.52
EFECTIVO",transporte
"Z#RA
CIF: 20775620F
Fecha: 13/10/2026
----------------------
CAMIA  3.36
VESTIDO  4.14
ZAPATILLAS  9.75
----------------------
TOTAL EUR  49.07
TOTAL",ropa
"FARMACIA
CIF: 52629090G
Fecha: 24/7/2026
----------------------
RECETA  19.02
PARACETAMOL  15.87
FA!MACIA  22.66
----------------------
TOTAL EUR  146.92
CAJERO",salud
"CONFORAMA
CIF: 14488693D
Fecha: 12/3/2026
----------------------
ESTANTEIA  40.05
SILLA  7.43
BOMBILLA  2.22
MESA  14.97
LAMPARA  1.99
IKEA  43.88
----------------------
TOTAL EUR  106.04
FACTURA",hogar
"MCDO NALS
CIF: 20830257P
Fecha: 10/10/2026
----------------------
TAPAS  17.7
CMIDA  40.43
C2NA  17.19
ENTRADA  32.31
TEATRO  38.84
HAMBURGUESA  25.15
----------------------
TOTAL EUR  111.02
IVA",ocio
"ZA RA
CIF: 64704486Q
Fecha: 18/5/2026
----------------------
CALCETINES  16.73
DEPOR TE  32.02
ZAPATILLAS  4.93
----------------------
TOTAL EUR  44.79
TOTAL",ropa
"EMPRESA MUNIC IPAL TRANSPORTES
CIF: 96041967Y
Fecha: 4/11/2026
----------------------
UBER  28.64
TEN  37.3
BILL ETE  21.89
P ARKING  12.62
---------------------
TOTAL EUR  186.8
FACTURA",transporte
"AL TAFIT
CIF: 41814861S
Fecha: 26/10/2026
----------------------
SUSCRIPCION  31.1
CUOA  25.27
HBO  7.64
----------------------
TOTA L EUR  196.14
IVA",suscripciones
"BRICOMART
CIF: 27285109N
Fecha: 10/8/2026
----------------------
AGUA  42.1
PINTURA  10.21
------------- ---------
TOTAL EUR  123.96
TICKET",hogar
"METRO MADRID
CIF: 85203440X
Fecha: 16/5/2026
----------------------
BILL!TE  16.06
B ONO  9.93
DIESEL  48.51
GASOLINA  30.1
EST ACIO3AMIENTO  43.37
----------------------
TOTAL EUR  148.28
CAMBIO",transporte
"FARMACIA
CIF: 19212&15X
Fecha: 1/1/2026
----------------------
MASAJE  15.72
FARMACIA  27.36
OPTICA  36.44
LENTILL6S  8.36
IBUPROFENO  9.21
GAAS  29.83
----------------------
TOTAL EUR  110.38
TOTAL",salud
"MASSIMO DUTTI
CIF: 45952630G
Fecha: 9/2/2026
----------------------
VESTIDO  19.14
JERSEY  29.53
CHAQUTA  39.25
ZAPATOS  13.97
CINTURON  37.86
CAMISA  44.72
----------------------
TOTAL EUR  166.14
GRACIAS POR SU VISITA",ropa
"100 MONTADITOS
CIF: 98459687O
Fecha: 14/3/2026
----------------------
MUSEO  13.77
MENU  34.14
CERVEZA  47.23
CONCIERTO  7.68
----------------------
TOTAL EUR  128.75
IVA",ocio
"MOV ISTAR
CIF: 53947515L
Fecha: 28/3/2026
----------------------
LUZ  49.03
PINTURA  5.23
MUEBE  48.45
BOMBILLA  9.95
IKA  36.68
FACTURA  22.34
----------------------
TOTAL EUR  35.08
EUR",hogar
"B7SIC-FIT
CIF: 3173131D
Fecha: 4/2/2026
----------------------
NETF LIX  16.94
DISNEY  34.24
----------------------
TOTAL EUR  113.16
CAJERO",suscripciones
"TELEPIZZA
CIF: 16309871V
Fecha: 28/9/2026
----------------------
ENTRADA  39.61
PIZZA  17.73
COMI DA  11.75
----------------------
TOTAL EUR  143.59
FECHA",ocio
"YELMO CINES
CIF: 11279355K
Fecha: 2/6/2026
----------------------
CINE  38.46
MENU  49.04
M6SEO  41.32
PI ZZA  7.23
----------------------
TOTAL EUR  139.16
TICKET",ocio
"ORAN GE
CIF: 17936930Y
Fecha: 3/11/2026
----------------------
HERRAM3ENTAS  19.47
ESTANTERIA  18.25
BOMBILLA  35.14
AGUA  8.37
MESA  24.11
----------------------
TOTAL EUR  48.79
CAMBIO",hogar
"PRIMARK
CIF: 18656271X
Fecha: 14/8/20 26
----------------------
VEST IDO  24.02
FALDA  13.71
----------------------
TOTAL EUR  123.27
FACTURA",ropa
"REPSOL
CIF: 85891606R
Fecha: 2/7/2026
----------------------
AUOBUS  5.66
ESTACIOAMIENTO  35.5
------ ----------------
TOTAL EUR  104.17
EUR",transporte
"GENERAL OPTICA
CIF: 31429651D
Fecha: 2/7/2026----------------------
CLINICA  7.15
LENTILLAS  11.83
OPTICA  46.75
PARACETAMOL  47.68
----------------------
TOTAL EUR  90.86
IVA",salud
"GENERAL OPTICA
CIF: 56350165T
Fecha: 12/10/2026
----------------------
CLINIA  14.55
DENTISTA  42.07
ANALISS  7.57
GAFAS  14.03
----------------------
TOTAL EUR  92.64
FECHA",salud
"REFE
CIF: 27807603D
Fecha: 20/10/2026
----------------------
AVE  11.67
BONO  10.16
ESTACIONAMIE NTO  23.55
PEAJE  25.52
UBER  19.8
PA RKING  5.92
----------------------
TOTAL EUR  127.71
FECHA",transporte
"METRO MADRID
CIF: 29501227I
Fecha: 14/10/2026
----------------------
CABIFY  20.13
AUTOBUS  26.89
MENSUL  32.14
----------------------
TOTAL EUR  73.78
EFECTIVO",transporte
"BRICOMART
CIF: 79267291O
Fecha: 20/11/2026
----------------------
LAMPA RA  2.77
BRICOLAJE  27.48
SILLA  40.08
I&EA  44.7
----------------------
TOTAL EUR  191.07
CAJERO",hogar
"TELEPIZA
CIF: 26456434V
Fecha: 5/2/2026
----------------------
HMBURGUESA  26.71
TAPAS  16.57
MUS EO  3.29
MNU  16.63
----------------------
TOTAL EUR  172.25
TOTAL",ocio
"AHORRAMAS
CIF: 99981435N
Fecha: 18/11/2026
----------------------
FR5TA  33.32
AGUA  46.02
YOGUR  20.82
PESCADO  38.48
----------------------
TOTAL EUR  103.78
CAMBIO",alimentacion
